basy_yljgid,basy_caption,basy_yydj,flag
510000002236 ,广元市利州区人民医院,二级乙等,0
510000002240 ,广元市利州区嘉陵社区卫生服务中心,未定级未定等,0
510000002244 ,广元皮肤泌尿专科医院,二级未定等,0
510000002248 ,广元市第二人民医院,三级乙等,0
510000002250 ,广元市精神卫生中心,三级甲等,0
510000002252 ,广元万江眼科医院,二级未定等,3
510000002254 ,广元市第三人民医院（广元市传染病医院）,三级乙等,0
510000002256 ,广元市昭化区妇幼保健院,二级甲等,0
510000002258 ,广元市昭化区人民医院,二级甲等,0
510000002262 ,广元市朝天区妇幼保健院,二级乙等,0
510000002264 ,广旺矿区赵家坝医院,未定级未定等,0
510000002268 ,旺苍县人民医院,三级乙等,0
510000002270 ,旺苍县妇幼保健院,二级甲等,0
510000002272 ,旺苍县中医医院,二级甲等,0
510000002274 ,旺苍县静乐寺医院,未定级未定等,0
510000002276 ,旺苍县陈家岭医院,未定级未定等,0
510000002280 ,旺苍永康医院,未定级未定等,0
510000002282 ,广旺矿区唐家河医院,一级甲等,0
510000002284 ,广旺矿区代池坝医院,未定级未定等,0
510000002286 ,青川县妇幼保健计划生育服务中心,二级乙等,0
510000002288 ,青川县中医医院,二级甲等,0
510000002290 ,青川县人民医院,二级甲等,0
510000002328 ,青川县第一人民医院,二级乙等,0
510000002338 ,剑阁县人民医院,三级乙等,0
510000002340 ,剑阁县中医医院,三级甲等,0
510000002342 ,剑阁县妇幼保健院（妇幼保健计划生育服务中心）,二级甲等,0
510000002344 ,苍溪县皮肤病性病防治院,未定级未定等,0
510000002346 ,苍溪县中医医院,三级甲等,0
510000002348 ,苍溪县妇幼保健院,二级甲等,0
510000002350 ,苍溪县人民医院,三级乙等,0
510000002352 ,苍溪县第二人民医院,二级乙等,0
510000002354 ,苍溪社会保险医院,二级乙等,0
510000002356 ,遂宁市民康医院（遂宁市优抚医院）,二级甲等,0
510000002358 ,遂宁市中心医院,三级甲等,0
510000002360 ,遂宁市第一人民医院,三级乙等,0
510000002362 ,遂宁市中医院,三级甲等,0
510000002364 ,遂宁市第三人民医院,二级甲等,0
510000002366 ,船山区妇幼保健院,二级甲等,0
510000002370 ,遂宁公信医院,一级甲等,0
