,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
38755,6,77.280,5,7912.400625,2722.10625,1769.8021875,22527.42375,32
38824,6,77.490,5,2478.949696969697,6727.7148484848485,2534.6090909090913,16414.346666666665,33
38825,6,77.490,6,3059.335238095238,5999.532380952381,2051.98,17426.965238095236,21
38826,6,77.490,8,2304.4666666666667,6905.94625,3356.4187500000003,16830.173333333332,24
38882,6,77.650,1,5782.818863636364,3374.7843181818184,1481.37,20812.774999999998,44
38883,6,77.650,2,10388.03375,4329.010625,2824.4653125,27993.615625,32
38884,6,77.650,3,12857.94870967742,5180.553548387097,4955.4403225806445,40910.78419354839,31
38885,6,77.650,4,15659.695,6532.104166666667,4928.60125,44832.956666666665,24
38886,6,77.650,5,11814.727777777778,6106.176944444444,5157.073888888889,37260.293333333335,36
38898,6,77.670,1,3108.0364864864864,3342.8113513513513,1755.9018918918919,16123.767837837839,37
38900,6,77.670,3,11881.840869565218,4161.087391304348,4007.937391304348,33061.361739130436,23
38901,6,77.670,4,10100.210952380952,4906.9971428571425,5638.76619047619,36229.54142857143,21
38902,6,77.670,5,8700.8958,4919.7716,5133.5676,30532.638,50
38903,6,77.670,6,9750.192068965518,5007.269310344827,4815.852068965517,32680.361724137932,29
38910,6,77.680,5,3445.881086956522,3050.9095652173914,2118.937608695652,14278.463260869567,46
38915,6,77.690,1,8458.846249999999,3555.77175,2166.04725,22940.59775,40
38916,6,77.690,2,11625.781632653063,6083.867755102041,6608.36612244898,36743.380612244895,49
38917,6,77.690,3,8441.475416666666,4234.99125,3764.7293750000003,25220.800625,48
38918,6,77.690,4,12396.848363636364,4964.232363636364,3968.5041818181817,33954.242545454545,55
38919,6,77.690,5,12991.381958762888,5258.761237113402,5147.546391752578,34236.01907216495,97
38920,6,77.690,6,12088.973235294117,6811.732352941176,5083.024509803921,34164.175588235295,102
38921,6,77.690,8,9994.700227272728,4649.685454545454,3289.743181818182,25797.463636363635,88
38922,6,77.690,9,6485.746521739131,4831.374347826087,3726.956956521739,22802.57956521739,23
39180,6,78.590,4,18875.668095238096,4500.601904761905,5090.455238095238,45327.85619047619,21
39181,6,78.590,5,22327.826315789473,5875.892105263158,6221.792368421052,53939.36657894737,38
39182,6,78.590,6,13327.56238095238,3064.3914285714286,3044.792380952381,27082.622380952384,21
39192,6,78.610,1,1109.7874074074073,1287.874074074074,1105.8294444444446,7194.604444444445,54
39193,6,78.610,2,993.2617142857142,1653.1483809523809,1650.762380952381,8474.621619047619,105
39194,6,78.610,3,807.9103311258278,1565.5097350993378,1416.0106622516557,7395.6424503311255,151
39195,6,78.610,4,737.9527755102041,1509.3847755102042,1266.8495102040818,7021.8776326530615,245
39196,6,78.610,5,893.486840855107,1583.3319239904988,1306.9158194774348,7410.538907363421,421
39197,6,78.610,6,666.8003773584906,1640.2712578616351,1161.9701886792454,6849.151509433963,159
39198,6,78.610,8,699.4833333333333,2239.7743333333333,1543.2916666666667,8072.282999999999,30
39200,6,78.620,0,629.7372881355932,1089.9165254237287,492.37703389830506,5380.057203389831,118
39201,6,78.620,1,914.2076470588236,1247.7607352941177,779.9280882352941,6587.940294117647,68
39202,6,78.620,2,1003.4923404255319,1650.9893617021276,1222.0117021276596,8007.637446808511,47
39203,6,78.620,3,841.1146391752577,1624.989175257732,1214.9668041237114,7966.418865979382,97
39204,6,78.620,4,882.2432478632479,1562.1909401709402,1542.8676923076923,7850.471538461539,117
39205,6,78.620,5,890.8443529411765,1614.338,1363.6009411764705,7716.629058823529,255
39206,6,78.620,6,859.3047580645162,1689.726935483871,1313.5609677419354,7872.018870967741,124
39207,6,78.620,8,1183.3758536585367,2212.104634146341,1814.7334146341461,9619.460731707317,41
39209,6,78.630,0,896.1393939393939,1121.591515151515,606.6345454545456,6101.484090909091,66
39210,6,78.630,1,766.8614285714285,1253.591868131868,615.0361538461539,5876.662417582418,91
39211,6,78.630,2,838.1979381443299,1577.4276288659794,1216.0146391752578,7736.876804123712,97
39212,6,78.630,3,794.8780536912752,1574.5689932885905,1049.883489932886,7064.521342281879,149
39213,6,78.630,4,762.7949528301887,1508.8218396226414,1168.9771226415094,7059.494575471698,212
39214,6,78.630,5,809.7394955489615,1623.738278931751,1226.303412462908,7588.228961424333,337
39215,6,78.630,6,800.7030463576159,1745.5364900662253,1282.234238410596,7669.56761589404,151
39216,6,78.630,8,545.6818,2008.7695999999999,1099.779,7302.3162,50
39220,6,78.640,2,906.05875,1323.5485416666668,804.4535416666668,7165.62625,48
39221,6,78.640,3,547.9658823529412,1561.0458823529411,1026.3317647058823,7115.407205882353,68
39222,6,78.640,4,408.21750000000003,1476.664807692308,946.4340384615384,6318.759038461539,52
39223,6,78.640,5,431.8531884057971,1506.386231884058,981.8485507246377,6196.421884057971,69
39227,6,78.650,0,1333.67873015873,1522.3968253968253,642.8776190476191,7816.163650793651,63
39228,6,78.650,1,1716.5443902439026,1715.5290243902439,1202.919024390244,9834.800487804878,41
39229,6,78.650,2,1403.8935416666666,1782.9864583333335,1540.5709375,9266.601875,96
39230,6,78.650,3,1650.8841379310345,1919.9178448275861,1674.8377586206896,10129.945603448276,116
39231,6,78.650,4,1290.3128767123287,1913.4272602739727,1710.0974657534248,9419.713287671233,146
39232,6,78.650,5,1229.1837554585154,1902.6879475982532,1636.7229694323144,9294.291834061136,229
39233,6,78.650,6,815.0523913043479,1916.6205434782607,1435.033804347826,8231.377608695651,92
39234,6,78.650,8,652.4917142857142,2439.2560000000003,1624.5162857142857,9257.984571428571,35
39238,6,78.660,2,791.17875,1595.3653125,1310.4840625,7870.9634375,32
