,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
3695,1,82.3601,5,9626.611764705882,731.3254901960784,3618.527450980392,17958.989411764705,51
4160,1,88.4800,3,5055.445,2102.714285714286,4395.905714285715,26841.565,28
4161,1,88.4800,4,3173.76,1933.328,3588.8662,21069.146200000003,50
4162,1,88.4800,5,2990.03975,2032.94,4142.85875,23949.651,40
4180,1,88.6600x,5,3894.7,1265.025,2417.9506666666666,10596.835666666668,30
4227,1,92.2700,5,2675.1216279069768,1324.139534883721,32839.592558139535,42192.11348837209,43
4294,1,93.5402,5,4743.966,1205.5033333333333,1961.1686666666667,12118.984333333332,30
4323,1,93.9601,8,757.27,2133.2272727272725,3739.0963636363635,9086.755,22
4324,1,93.9601,9,378.54125,2113.4874999999997,4540.612083333333,9440.574166666667,24
4350,1,97.6204,3,310.87000000000006,704.0645161290323,1351.6222580645162,3591.5567741935483,31
4351,1,97.6204,4,238.39884615384614,654.1307692307693,1263.9257692307692,3347.3592307692306,26
4352,1,97.6204,5,1170.6654838709676,852.1258064516129,2202.0548387096774,5934.789032258064,31
4406,1,99.2501,4,7451.529428571429,2518.1714285714284,7046.734142857143,25725.887857142854,70
4407,1,99.2501,5,7791.875555555555,2948.254248366013,6544.925424836601,26319.784640522874,153
4408,1,99.2501,6,7770.222330097087,2811.980582524272,7041.95640776699,27096.036019417475,103
4409,1,99.2501,8,7674.329473684211,2628.2236842105262,5202.675657894736,24648.472236842103,76
4438,1,99.7900,4,1206.439411764706,2645.5941176470587,1944.826176470588,9951.183235294116,34
4439,1,99.7900,5,1327.2784374999999,2467.54375,2101.25625,10402.3909375,32
4447,1,99.8500x,3,907.964,2303.28,2110.58,13308.7636,25
4448,1,99.8500x,4,741.2215625,2257.28125,2047.4996875,13586.22125,32
4458,2,,0,360.1376816239316,720.2233012820512,1337.5979166666666,3704.54452991453,936
4459,2,,1,514.34421875,949.0015625,1241.04640625,3690.68640625,64
4460,2,,2,519.0078921568628,1076.6425490196077,1428.1575980392158,5019.172794117647,204
4461,2,,3,1153.827619047619,1692.1440692640695,2615.5068398268395,9412.879264069263,231
4462,2,,4,1231.6423037974685,2021.7147088607596,4069.517772151899,12041.346075949368,395
4463,2,,5,1081.0594377067255,2140.5922932745316,3893.2160418963617,11575.211014332966,907
4464,2,,6,723.7735906642729,2237.480305206463,3791.494919210054,10087.775161579892,1114
4465,2,,8,625.0209640616087,2216.986537364518,3599.7997147746723,9222.714415288077,1753
4466,2,,9,475.1885532994924,2344.637328680203,3927.4784010152284,9656.848800761421,1576
4594,2,03.5305,4,20138.276818181817,2714.4045454545453,4211.27,33215.32818181818,22
4595,2,03.5305,5,24014.344761904762,2812.1785714285716,5424.803650793651,39985.57111111111,63
4596,2,03.5305,6,19446.68913043478,2831.1591304347826,3378.8486956521742,31131.64,23
4788,2,13.4100,6,2781.5087719298244,971.938596491228,257.41543859649124,5456.068070175439,57
4789,2,13.4100,8,2575.398466666667,997.9533333333334,217.07633333333334,5278.235466666666,150
4790,2,13.4100,9,2242.282131147541,1002.639344262295,197.29836065573772,4914.611639344263,61
4793,2,13.4100x,4,4059.153333333333,767.5416666666666,174.56416666666667,7360.411666666667,36
4794,2,13.4100x,5,3716.2662288135593,798.6745762711863,154.60271186440676,6862.340762711864,236
4795,2,13.4100x,6,2927.8952986022873,833.587166454892,139.6722617534943,6149.898157560356,787
4796,2,13.4100x,8,2529.758339324227,836.0743350107836,135.23750539180446,5710.490970524803,1391
4797,2,13.4100x,9,2355.7808221797327,830.5694072657743,135.45097514340344,5456.723709369025,523
4810,2,13.7100,6,1483.2222222222222,1087.2148148148149,101.05537037037037,4239.91462962963,54
4811,2,13.7100,8,1347.2454545454545,1061.7528925619836,123.14355371900827,4254.769173553719,121
4812,2,13.7100,9,962.126388888889,1162.3472222222222,208.00444444444443,4109.9975,36
4814,2,13.7100x,5,1898.5496875,1170.1,182.944375,4917.894375,32
4815,2,13.7100x,6,1827.1980392156863,1055.6225490196077,175.73019607843136,4734.824705882353,102
4816,2,13.7100x,8,1792.7667207792208,1077.3922077922077,186.5065909090909,4717.9802597402595,308
4817,2,13.7100x,9,1609.358319327731,1083.850420168067,222.88184873949578,4606.901680672269,119
4837,2,14.7401,5,3304.523214285714,763.4178571428572,1032.3857142857144,9167.907142857142,28
4838,2,14.7401,6,3468.3349999999996,843.7964285714286,1027.73,9062.789999999999,28
4839,2,14.7401,8,3842.848260869565,711.1391304347826,1182.7634782608695,9649.094347826087,23
4977,2,17.98330,4,986.7030434782608,578.2173913043479,2105.6921739130435,5394.834347826087,23
4978,2,17.98330,5,1038.3305555555555,577.3205555555555,2190.7013888888887,5532.663611111111,36
5152,2,22.5300x,5,1144.3335714285715,877.3035714285714,1675.8760714285713,7279.216785714286,28
5352,2,34.0401,6,566.5710344827587,2676.401379310345,3256.4058620689657,9202.836206896553,29
5353,2,34.0401,8,964.2692307692307,3083.403076923077,3233.9484615384617,10147.963846153847,39
5354,2,34.0401,9,572.1994871794872,3208.0299999999997,3561.6648717948715,10911.909743589744,39
5375,2,34.9101,8,691.2071428571429,3406.814285714286,4675.209523809524,12449.230952380953,21
5429,2,38.5901,5,511.45214285714286,1385.975357142857,1314.6551785714287,6431.747857142857,56
5430,2,38.5901,6,465.1066666666667,1581.5936666666666,1198.1473333333333,6125.759,30
5431,2,38.5901,8,651.3845161290322,1697.7396774193548,1710.664193548387,7615.416451612903,31
