,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
3765,A41.90,6,33.240,8,1491.0390476190476,14434.30238095238,13648.123809523808,40286.61857142857,21
3766,A41.90,6,33.240,9,1739.0756756756755,16835.40405405405,18251.006216216214,56543.94135135135,37
3802,A41.90,6,38.930,5,1756.1253846153845,10135.254615384616,10652.618076923078,34481.477692307686,26
3803,A41.90,6,38.930,6,3902.1324,10326.998,9695.0244,33200.1828,25
3804,A41.90,6,38.930,8,1631.9936363636364,15708.551136363636,12073.076818181818,39253.828636363636,44
3805,A41.90,6,38.930,9,1633.3491228070177,13402.150526315789,12400.046842105265,40339.30596491228,57
3822,A41.90,6,38.990,0,397.1114285714286,1525.6964285714287,907.2574999999999,4299.676071428571,28
3841,A41.90,6,39.950,6,4857.298333333333,11846.982083333334,11312.635,39706.79,24
3842,A41.90,6,39.950,8,5149.140476190476,16633.91904761905,12767.395238095238,49092.61761904762,21
4021,A41.90,6,57.940,8,1329.6589655172413,12105.03551724138,7415.923793103449,28905.579999999998,29
4022,A41.90,6,57.940,9,2756.2063157894736,12763.666842105264,11073.658421052633,36518.74684210527,38
4118,A41.90,6,89.520,0,271.25615384615384,1550.2053846153844,817.9146153846153,4004.7496153846155,26
4156,A41.90,6,93.350,0,321.20613636363635,2297.3954545454544,1801.0870454545454,6825.996590909091,44
4169,A41.90,6,93.900,0,2401.6367647058823,10674.224705882354,8491.062352941177,31264.596764705882,34
4174,A41.90,6,93.900,6,1397.9185714285716,10668.916285714286,9905.782,30255.520285714283,35
4175,A41.90,6,93.900,8,1140.9203571428573,11192.265892857144,8505.800535714287,30375.695535714283,56
4176,A41.90,6,93.900,9,1334.1861224489796,11345.336734693878,9140.915102040817,31844.62285714286,98
4177,A41.90,6,93.940,0,331.14103448275864,1863.7936781609194,1342.8693103448277,5315.968735632184,87
4195,A41.90,6,96.040,6,3695.6929629629626,14376.444444444445,19805.14185185185,55151.474074074074,27
4196,A41.90,6,96.040,8,2637.979807692308,14844.9725,16553.856153846154,51209.964807692304,52
4197,A41.90,6,96.040,9,3733.93847826087,16919.98152173913,15135.559130434782,55880.468043478264,46
4218,A41.90,6,96.710,5,2727.656176470588,9516.837647058823,10300.477352941176,30830.85617647059,34
4219,A41.90,6,96.710,6,2219.6766666666667,7999.653333333334,6714.072121212122,23836.155757575758,33
4220,A41.90,6,96.710,8,1952.3600000000001,9941.199876543209,10035.56,30164.87827160494,81
4221,A41.90,6,96.710,9,2289.6713432835822,9631.454925373135,9513.589701492538,28999.765223880597,67
4227,A41.90,6,96.720,5,12742.011714285714,31114.873142857145,52440.39257142857,142291.40657142858,35
4228,A41.90,6,96.720,6,8112.994285714285,28439.709591836734,47233.82224489796,117539.96265306123,49
4229,A41.90,6,96.720,8,6266.668192771084,27613.866987951806,34086.063012048195,101093.81373493974,83
4230,A41.90,6,96.720,9,6872.296145833334,33698.55541666666,37482.22114583333,114608.9384375,96
4254,A41.90,6,99.210,0,407.4508429118774,1932.658122605364,1107.0548659003832,5062.876245210728,261
4778,A86.x0,6,03.310,0,588.4435593220338,4200.347288135593,2755.390847457627,11660.685593220338,59
4779,A86.x0,6,03.310,1,443.47485714285716,4568.443142857143,1786.456,10571.183714285715,35
4780,A86.x0,6,03.310,2,560.0351428571429,7141.478857142857,2424.2028571428573,15638.789714285715,35
4781,A86.x0,6,03.310,3,461.4472727272727,6942.485757575758,1763.4027272727274,12405.092424242424,33
4782,A86.x0,6,03.310,4,432.45642857142855,6383.372142857143,3077.3567857142857,13323.218928571428,28
4783,A86.x0,6,03.310,5,544.4018309859155,8168.88366197183,3406.871267605634,16364.490422535213,71
4784,A86.x0,6,03.310,6,514.7094736842105,7725.5328947368425,3234.592894736842,15940.217368421052,38
4785,A86.x0,6,03.310,8,664.0944117647059,8854.07088235294,4088.852352941177,18635.15823529412,34
4857,A87.90,6,03.310,3,405.3395652173913,6330.202608695652,2165.486086956522,12446.177391304349,23
4859,A87.90,6,03.310,5,556.2687999999999,7039.1684,3087.1764000000003,16053.4772,25
