,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
1230,1,59.8,3,4092.2295454545456,1981.3318181818183,4331.609545454546,12612.552727272727,22
1231,1,59.8,4,3662.911666666667,1973.3833333333332,3981.6487500000003,11934.96375,24
1232,1,59.8,5,3963.298888888889,2065.051851851852,4306.612592592593,12678.826296296296,27
1245,1,60.2,6,1121.1703125,1683.565625,3452.53625,10185.43875,32
1246,1,60.2,8,1088.2389230769231,1856.4015384615386,3717.830615384615,10811.904153846153,65
1280,1,62.9,3,971.4559615384616,1806.0673076923076,1290.0090384615385,8854.05153846154,52
1287,1,63.1,2,545.2992307692308,682.9153846153846,1041.335,11834.589615384615,26
1288,1,63.1,3,267.95935483870966,749.0774193548388,992.9716129032257,9733.122903225807,31
1317,1,65.2,3,1139.3528,1384.22,1746.2032000000002,9938.776,25
1333,1,65.8,2,141.48975000000002,628.3375,711.61875,22475.44275,40
1334,1,65.8,3,10.31,497.85161290322577,689.3387096774194,21422.97677419355,31
1338,1,66.0,2,631.9114473684211,861.9447368421053,1631.8903947368422,13771.979736842104,76
1339,1,66.0,3,554.025352112676,781.4450704225352,1522.1422535211268,14436.384507042254,71
1343,1,66.2,3,1997.4308333333336,743.3375,963.0645833333333,9338.855416666667,24
1348,1,66.4,3,1611.996976744186,1163.5186046511626,1084.9653488372094,9332.747674418606,43
1352,1,66.5,3,2346.8571794871796,1224.9076923076923,1014.3602564102565,10655.649487179488,39
1356,1,66.6,3,1386.3484210526315,1110.4263157894736,1207.068947368421,8914.116315789473,38
1360,1,66.7,2,127.20521739130436,636.3312252964427,1844.6691304347826,16494.603201581027,253
1361,1,66.7,3,245.81405693950177,663.7282562277579,1733.3087544483985,16796.176227758006,281
1362,1,66.7,4,175.88625,650.4589285714285,1308.504107142857,18460.957857142857,56
1382,1,67.3,3,134.43027027027028,978.5216216216216,1913.9900000000002,5110.127027027027,37
1383,1,67.3,4,117.9154716981132,1014.5226415094339,2195.3783018867925,4939.398113207547,53
1384,1,67.3,5,106.50534883720931,1130.117441860465,2326.9937209302325,4917.131627906977,43
1395,1,68.1,2,477.38919999999996,974.2439999999999,587.4356,4484.5216,25
1396,1,68.1,3,609.07625,1119.7416666666666,637.0016666666667,4953.454444444444,72
1397,1,68.1,4,443.7110204081633,1033.9051020408162,715.5236734693879,4649.2616326530615,49
1400,1,68.2,2,723.9825925925926,798.5157407407407,630.471851851852,5548.141666666667,54
1401,1,68.2,3,803.9431937172775,682.6731937172775,706.2554450261781,5547.110680628271,191
1402,1,68.2,4,869.9855263157893,1162.1472368421053,993.7542105263159,7107.078684210526,76
1403,1,68.2,5,993.3019230769231,1452.503846153846,948.8319230769231,7568.778461538461,26
1413,1,68.4,5,889.0619230769231,2249.2707692307695,2315.9065384615383,10729.322307692308,26
1425,1,69.0,2,223.39974025974024,1026.060909090909,916.0322077922077,4764.052857142858,77
1426,1,69.0,3,214.2059124087591,1018.2552554744526,846.8637956204379,4439.623138686131,137
1427,1,69.0,4,139.97009803921569,1195.280588235294,1753.376960784314,5596.605196078432,102
1428,1,69.0,5,304.4945283018868,1417.1598113207547,1778.7677358490566,5508.890377358491,53
1440,1,69.5,2,140.21423076923077,2034.5261538461539,1706.2907692307692,6451.2292307692305,26
1441,1,69.5,3,233.65454545454543,1619.4336363636364,480.3429545454546,5124.070909090909,44
1463,1,70.7,2,315.4813953488372,868.5518604651163,483.3172093023256,5410.7560465116285,43
1464,1,70.7,3,334.9580952380952,1086.0190476190476,726.9904761904761,9632.984761904761,21
1485,1,71.7,2,399.51610465116283,1183.4930232558138,752.7929651162791,11975.781976744185,172
1486,1,71.7,3,521.7039072847682,1542.1534437086093,708.9858278145696,14445.623377483444,151
1505,1,73.6,2,628.538938547486,1957.417094972067,710.5992178770949,12750.594692737432,179
1506,1,73.6,3,682.2875324675325,2392.362857142857,754.4596103896104,16738.445844155845,77
1514,1,74.1,2,942.6427261146497,1409.9875541401273,1325.7694777070064,14341.10929936306,785
