,basy_caption
699,南江县八庙镇卫生院
700,南江县民康医院（南江县民卫医院）
701,南江县集州中心卫生院
702,南部三六五医院
703,南部中仁医院
704,南部县东坝中心卫生院
705,南部县大坪中心卫生院
706,南部县滨江社区卫生服务中心
707,南部县王家中心卫生院
708,南部县石河镇卫生院
709,南部明珠医院
710,南部良骨医院
711,南部骨科医院
712,双流贸园医院
713,叙永县后山镇卫生院
714,叙永县摩尼中心卫生院
715,叙永县龙凤镇兴隆卫生院
716,叙永德中医院
717,古蔺县金兰街道社区卫生服务中心
718,古蔺树强骨科医院
719,合江县临港街道社区卫生服务中心（合江县第三人民医院）
720,四川地质医院
721,四川天府新区人民医院
722,四川天府新区第二人民医院（四川天府新区精神卫生中心）
723,四川护理职业学院附属医院（四川省第三人民医院）
724,四川现代医院
725,四川省医学科学院·四川省人民医院
726,四川省南充卫生学校附属医院
727,四川省宜宾监狱医院
728,四川省第二中医医院
729,壤塘县上寨中心卫生院
730,壤塘县人民医院
731,大安区何市中心卫生院
732,大安区庙坝镇卫生院
733,大竹县乌木镇卫生院
734,大竹县合协医院
735,大竹县四合镇卫生院
736,大竹县团坝镇卫生院
737,大竹县朝阳乡卫生院
738,大竹县永胜镇卫生院
739,大竹县石桥铺中心卫生院
740,大竹县童家镇卫生院
741,大英县中医医院
742,大英县金元镇卫生院
743,大英平安医院
744,大英瑞康医院
745,大邑县安仁镇公立卫生院
746,大邑县花水湾镇公立卫生院
747,大邑志昌骨科医院
748,大邑慈安医院
749,天全华协医院
750,天全县乐英乡卫生院
751,天全县人民医院
752,夹江县吴场镇中心卫生院
753,夹江县新场镇中心卫生院
754,夹江张氏医院
755,威远县人民医院
756,威远县新店镇卫生院
757,威远县第三人民医院
758,威远县观英滩镇卫生院
759,威远康宁医院
760,威远正和医院
761,宁南县中医医院
762,宁南县六铁镇卫生院（六铁镇妇幼保健计划生育服务站）
763,宁南县大同镇卫生院（大同镇妇幼保健计划生育服务站）
764,安岳县天马乡卫生院
765,安岳县忠义镇卫生院
766,宏州医院
767,宜宾三松医院
768,宜宾三江新区宋家镇卫生院
769,宜宾二二四医院
770,宜宾卫兴医院
771,宜宾和康骨科医院
772,宜宾安民医院
773,宜宾市南溪区刘家镇卫生院
774,宜宾市叙州区妇幼保健计划生育服务中心
775,宜宾市叙州区精神病医院
776,宜宾市叙州区龙池乡卫生院
777,宜宾市矿山急救医院
778,宜宾市第二中医医院
