,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
7948,C20.x0,6,48.690,6,14428.889090909091,8873.056363636364,6350.915454545455,45149.95227272727,22
7949,C20.x0,6,48.690,8,13432.21129032258,9043.53935483871,7851.366774193548,45954.870322580646,31
7997,C20.x0,6,99.250,5,1358.4566666666667,5226.347619047619,3934.9895238095237,12823.66523809524,21
7998,C20.x0,6,99.250,6,651.648695652174,4424.021739130435,3222.684347826087,10322.915652173913,23
7999,C20.x0,6,99.250,8,1118.8648,4601.936,3031.3936,11025.964,25
8145,C22.00,6,39.790,4,9088.103870967741,4342.594838709678,4589.943870967742,28866.585483870967,31
8146,C22.00,6,39.790,5,10634.280099009902,4870.063366336634,5949.429207920792,31532.98574257426,101
8147,C22.00,6,39.790,6,10398.505833333333,4660.9055,4399.928,28042.00233333333,60
8148,C22.00,6,39.790,8,9620.412592592593,4424.075925925926,4995.971851851851,28853.036296296297,54
8165,C22.00,6,50.220,4,13272.927272727275,8912.995454545455,8123.304545454546,51677.09227272728,22
8166,C22.00,6,50.220,5,11557.587012987013,8526.702597402596,7744.645064935065,48441.672987012986,77
8167,C22.00,6,50.220,6,11512.324545454547,10302.066363636364,8416.55696969697,51765.716060606064,33
8168,C22.00,6,50.220,8,13008.273870967741,9336.815806451612,6812.031612903226,49622.69935483871,31
8188,C22.00,6,50.3x0,5,15052.075,9801.33225,10537.1625,57273.623750000006,40
8189,C22.00,6,50.3x0,6,11963.3872,9683.4968,8148.644,54835.3648,25
8489,C22.90,6,,5,346.1533333333333,3175.0336363636366,2417.1503030303033,7485.383333333333,33
8490,C22.90,6,,6,411.7151851851852,4185.601111111111,2974.8799999999997,11431.817407407407,27
8491,C22.90,6,,8,328.88935483870966,4489.434193548387,2887.6022580645163,9942.57387096774,31
8510,C22.90,6,39.790,4,7617.448214285714,3394.5717857142854,4084.279642857143,25556.635714285716,28
8511,C22.90,6,39.790,5,9365.774757281553,4043.6031067961167,4972.5450485436895,28689.260291262137,103
8512,C22.90,6,39.790,6,7627.405061728396,4357.975925925925,5352.6908641975315,28306.45358024691,81
8513,C22.90,6,39.790,8,7873.203333333333,4458.629803921569,5669.023529411765,28585.066666666666,51
8581,C22.90,6,54.910,5,831.9033333333334,4667.225714285714,6782.8385714285705,16722.618095238093,21
9006,C25.00,6,52.7x0,6,22509.535757575755,14590.59,18391.664242424245,87998.1196969697,33
9615,C34.10,4,32.200,5,2630.42,6167.896521739131,2272.0391304347827,42042.46695652174,23
9631,C34.10,4,32.410,5,5347.239523809524,6716.256190476191,2723.056666666667,46506.12761904761,21
9754,C34.10,6,32.200,2,10894.014285714286,5350.578571428571,2217.8780952380953,35237.58666666666,21
9755,C34.10,6,32.200,3,13111.731707317073,4902.634634146341,1908.8458536585365,34480.16024390244,41
9756,C34.10,6,32.200,4,15160.128181818183,5862.048363636363,2247.165,37002.14209090909,110
9757,C34.10,6,32.200,5,14886.274822335026,6272.436091370558,2545.3020304568527,38088.49329949239,197
9758,C34.10,6,32.200,6,16438.734755244754,7302.069230769231,2728.3927972027973,40126.771118881115,143
9759,C34.10,6,32.200,8,17367.848536585367,9404.896951219513,3845.6151219512194,44559.37609756098,82
9776,C34.10,6,32.300,3,21707.04914893617,6691.404680851064,2757.506595744681,42745.42106382979,47
9777,C34.10,6,32.300,4,21391.529583333333,6965.183333333333,2888.7982291666667,46334.04125,96
9778,C34.10,6,32.300,5,20293.94926070039,6805.514941634242,2594.780038910506,44372.69669260701,257
9779,C34.10,6,32.300,6,19875.511860465118,7390.282965116278,2799.0513372093023,44870.88744186046,172
9780,C34.10,6,32.300,8,22430.781304347827,9011.540760869566,3669.4234782608696,48768.02130434783,92
9788,C34.10,6,32.410,4,22643.931363636362,8066.145227272727,3160.1295454545457,46311.52931818182,44
9789,C34.10,6,32.410,5,22658.629453125,8305.5610546875,3273.35546875,49024.0710546875,256
9790,C34.10,6,32.410,6,23488.590698689957,8713.634497816594,3617.4033187772925,50973.71515283843,229
9791,C34.10,6,32.410,8,24330.96351648352,10032.773516483516,4178.93054945055,53372.68747252747,91
9811,C34.10,6,33.240,5,943.789696969697,7272.863636363636,2491.8718181818185,13840.36303030303,33
9812,C34.10,6,33.240,6,1016.5276086956521,7046.4217391304355,2917.3706521739127,14542.180869565216,46
9813,C34.10,6,33.240,8,671.6055172413794,6613.4051724137935,2431.2220689655173,12761.145862068965,29
9817,C34.10,6,33.260,5,1350.1404054054053,7634.804189189189,2107.0454054054053,13950.92445945946,74
9818,C34.10,6,33.260,6,1176.73896,7610.8654400000005,1670.87024,13122.617279999999,125
9819,C34.10,6,33.260,8,1178.7170634920635,6794.933174603174,1720.2614285714285,12223.106111111112,126
9820,C34.10,6,33.260,9,1357.483448275862,7095.4765517241385,3622.4720689655173,16061.346206896551,29
9823,C34.10,6,33.270,5,1063.2172727272728,8371.263636363636,3000.409090909091,15884.382272727275,22
9824,C34.10,6,33.270,6,1158.7136363636364,9233.294848484848,2490.3336363636363,16575.794545454544,33
9825,C34.10,6,33.270,8,1514.9776470588235,8429.07,2491.503823529412,16188.504411764707,34
9905,C34.10,6,99.250,5,1155.5714285714287,5635.585714285715,5237.317619047619,15030.251904761904,21
9906,C34.10,6,99.250,6,1114.8672,7291.8412,4337.3856,15514.3368,25
9989,C34.20,6,32.410,4,23066.6648,7380.472,2706.3459999999995,45855.62,25
9990,C34.20,6,32.410,5,21056.825211267605,7052.237746478873,2825.9201408450704,44146.83690140845,71
9991,C34.20,6,32.410,6,22017.075652173913,7816.138695652174,3368.406956521739,46512.41195652174,46
9992,C34.20,6,32.410,8,21488.291851851853,9213.417037037038,4059.5148148148146,51823.47,27
10165,C34.30,6,32.200,3,13883.044000000002,5709.204285714285,2243.4374285714284,37601.098,35
