,basy_zyzd_jbbm_3,count,耗材费
175,175,1284,3523.2281308411216
176,176,3273,3768.4501680415524
177,177,2676,4474.497615844543
178,178,263,5407.149961977186
179,179,2924,4806.893816689466
180,180,3243,4835.3997748997845
181,181,2747,4762.120298507463
182,182,5459,4057.6022256823594
183,183,3727,4509.537099543869
184,184,1475,6012.953857627118
185,185,2915,4232.190188679246
186,186,6649,4135.993086178373
187,187,3087,4957.746848072562
188,188,4533,4456.184153981911
189,189,3336,3965.346900479616
190,190,1773,4754.287021996616
191,191,2957,3787.01772404464
192,192,4220,4023.862720379147
193,193,1841,3402.810358500815
194,194,2198,3764.34661055505
195,195,1331,3503.6233508640116
196,196,1553,2072.7666902768833
197,197,1922,2672.6731425598337
198,198,2432,2436.9236965460527
199,199,1524,1970.5161745406824
200,200,1060,1810.818216981132
201,201,1200,1565.5734916666665
202,202,1397,1970.5369935576236
203,203,1435,1880.2597421602786
204,204,1236,3236.3042961165047
205,205,1533,2762.8849380300067
206,206,1513,4819.9055651024455
207,207,1104,7196.606313405797
208,208,1190,4357.995184873949
209,209,1190,3300.9550924369746
210,210,1624,4167.850782019705
211,211,2447,3760.422219043727
212,212,1584,2580.3074873737373
213,213,5368,1945.12493852459
214,214,2592,3035.7342322530862
215,215,9965,1429.7185619668842
216,216,14706,1458.7428886168912
217,217,10333,2161.3825413723025
218,218,3833,3247.0055465692667
219,219,7969,1947.3298556908017
220,220,13506,1521.08728046794
221,221,5493,3199.727050791917
222,222,9945,2086.166840623429
223,223,7727,2054.5746848712306
224,224,5311,2850.866526077951
225,225,6413,2217.1709683455483
226,226,11834,2078.8837358458677
227,227,12668,2638.8619979475843
228,228,12370,2516.3949506871463
229,229,6482,2392.2072431348347
230,230,5912,2691.5435977672532
231,231,8845,2327.9008807235728
232,232,7404,2979.827131280389
233,233,4958,2374.8251230334813
234,234,8613,3367.699719029374
235,235,9854,3250.2545879845748
236,236,2198,5436.429858962693
237,237,7899,3431.6691859729076
238,238,6051,3747.977180631301
239,239,2818,5457.637214336409
240,240,4102,4479.998815212091
241,241,2462,5020.6587002437045
242,242,2265,7041.37276379691
243,243,2183,5441.7614704535035
244,244,2430,3711.1429547325106
245,245,2439,6923.660455104552
246,246,1743,4853.149627079748
247,247,2613,4514.0925717566015
248,248,1773,4750.577507050198
249,249,1546,2477.453648124191
250,250,1968,4337.9230538617885
251,251,1783,3889.977195737521
252,252,1202,2762.416638935108
253,253,581,3718.083562822719
254,254,1171,3357.7872331340736
255,255,816,2668.713161764706
256,256,930,2229.549494623656
257,257,623,2632.47948635634
258,258,1302,2452.7830568356376
259,259,591,752.2746869712353
260,260,760,856.5234736842104
261,261,1099,1807.4105641492265
262,262,885,611.2714915254237
263,263,756,656.0444444444444
264,264,767,831.2807301173402
265,265,675,827.625674074074
266,266,755,845.3747682119205
267,267,754,568.511299734748
268,268,1797,675.2373233166388
269,269,589,1676.0030560271648
270,270,829,731.5705428226779
271,271,609,2477.960114942529
272,272,1162,1939.3954475043026
273,273,636,2425.9448427672955
274,274,550,984.9341818181819
275,275,784,2068.3639413265305
276,276,299,4664.359498327759
277,277,57,2995.5312280701755
278,278,264,1095.737121212121
279,279,680,3986.6813382352943
280,280,132,1833.675
281,281,143,2015.1690209790208
282,282,881,4777.612973893303
283,283,255,6618.943137254902
284,284,2492,4405.058467094703
285,285,1628,4108.295485257985
286,286,1698,4079.6933097762076
287,287,5112,1222.848838028169
288,288,1485,4010.6295555555553
289,289,13401,1145.8167591970748
290,290,6545,1716.443847211612
291,291,8185,2053.8176456933415
292,292,1972,3595.7243103448277
293,293,7412,2220.8427415002698
294,294,806,7609.52358560794
295,295,5363,1646.7262390453104
296,296,7234,1787.203056400332
297,297,5399,1231.2400314873123
298,298,5812,1696.0992997247076
299,299,709,2450.5295345557124
300,300,635,5266.791322834646
301,301,5436,1957.6079231052245
302,302,599,10871.720150250418
303,303,234,3407.9119230769234
304,304,305,2644.4792459016394
305,305,349,2528.4450716332376
306,306,482,10279.194419087136
307,307,286,2248.887937062937
308,308,336,3228.394821428571
309,309,585,2010.8365470085473
310,310,158,3354.6025949367086
311,311,378,655.690529100529
312,312,141,4271.560141843972
313,313,274,2069.0368978102188
314,314,254,1598.8017322834646
315,315,261,2318.0821072796934
316,316,237,1541.334430379747
317,317,164,4286.706890243902
318,318,289,1667.1732525951556
319,319,160,6950.2844375
320,320,249,2064.784457831325
321,321,77,8968.066233766234
322,322,55,804.0743636363637
323,323,168,3938.914880952381
324,324,160,7340.753625
325,325,127,9483.627952755905
326,326,126,7515.01253968254
327,327,167,7963.283353293414
328,328,84,8525.544404761904
329,329,97,4063.7329896907213
330,330,107,8196.951495327103
331,331,69,621.9297101449275
332,332,165,1122.3674545454546
333,333,775,2955.872322580645
334,334,215,6794.901534883721
335,335,1264,2653.976368670886
336,336,144,709.385625
337,337,961,2653.469937565036
338,338,176,799.0726704545455
339,339,341,599.2193255131965
340,340,2621,2564.3149828309806
341,341,907,2605.5352811466373
342,342,936,2118.1718055555557
343,343,950,2374.1344736842107
344,344,251,878.4194023904382
345,345,725,1794.9166068965517
346,346,178,667.1824719101123
347,347,259,660.9492277992279
348,348,274,582.5702919708029
349,349,95,1645.5737894736842
350,350,250,523.81124
351,351,355,2355.1135774647887
352,352,35,4180.7814285714285
353,353,194,516.4771134020618
354,354,180,445.2596111111111
355,355,72,433.7105555555556
356,356,273,437.40322344322345
357,357,100,815.0932
358,358,178,533.5108988764046
359,359,68,572.2338235294118
360,360,22,509.03681818181815
361,361,186,433.40349462365594
362,362,399,453.9370426065163
363,363,156,506.6202564102564
364,364,259,472.00853281853284
365,365,292,652.846301369863
366,366,340,667.0450588235294
367,367,434,426.58566820276496
368,368,306,605.5553267973856
369,369,17,479.6305882352941
370,370,251,434.65529880478084
371,371,516,818.905
372,372,277,647.4426353790614
373,373,92,5841.202717391305
374,374,430,751.2783255813953
375,375,44,6156.8125
376,376,215,737.8998139534883
377,377,7,350.7542857142857
378,378,14,787.8714285714286
